Diet,Fold Change HF/CD,CD,HF
Gclm,0.823373098,15.21311,15.46097
Srprb,0.822741931,14.39369,14.64136
Dhfr,0.82001795,15.51466,15.76151
Eif3e,0.818456644,14.43788,14.68426
Upp2,0.818024793,13.09707,13.34332
Ube2z,0.81772582,12.54784,12.794
Krt74,0.816862119,18.49284,18.73874
Igkc,0.814370672,16.03884,16.28399
Hnrnpul1,0.812311077,14.23612,14.48065
Etfa,0.81124806,19.24063,19.48484
Mgll,0.810716552,14.86243,15.10648
Akr7a5,0.808590518,16.32482,16.56823
Acsl6,0.808324763,16.2283,16.47163
Hk2,0.807461062,12.32839,12.57146
Rplp0,0.807228527,17.16581,17.40881
Atg7,0.807162088,15.0433,15.28628
Ddx19a,0.806530922,14.50515,14.74794
Rpl14,0.805833317,17.66007,17.90265
Cr1l,0.805567563,12.23125,12.47375
Kpnb1,0.804703862,15.0199,15.26214
Rpl12,0.803939818,16.40983,16.65184
Naga,0.802644266,14.68877,14.93039
Dpp7,0.801680907,15.93373,16.17506
Eef1g,0.798259321,16.78974,17.03004
Psme3,0.796864111,12.52228,12.76216
Slc27a2,0.796100068,17.73861,17.97826
Myl12b,0.795701437,16.0102,16.24973
Copa,0.795435682,16.02807,16.26752
Sae1,0.79510349,12.65964,12.89899
Atp5I,0.793475745,17.81082,18.04968
Plg,0.790751764,14.78467,15.02271
Hspa2,0.788393195,15.63058,15.86791
Lrpprc,0.787463055,15.09497,15.33202
Cbr4,0.786964766,16.36587,16.60277
Tmed1,0.786499696,11.35104,11.5878
Sco1,0.78400825,14.36999,14.606
Acsl5,0.782347286,17.45806,17.69357
Oat,0.780885637,17.65516,17.89023
Ppp1ca,0.780819199,14.43759,14.67264
G3bp1,0.78028769,14.72201,14.9569
Slc22a2,0.780121594,13.8769,14.11174
Scrn3,0.779025358,14.06113,14.29564
Sod1,0.776666789,20.31249,20.54629
Eef1b2,0.775836307,16.70128,16.93483
Eif2s2,0.775271579,14.81696,15.05034
Itih4,0.775271579,13.90095,14.13433
Tomm70a,0.773178764,15.36748,15.60023
Erap1,0.772315063,15.44903,15.68152
Fgb,0.767033197,15.57457,15.80547
Scara3,0.765671207,15.36827,15.59876
Phf17,0.763046883,19.03636,19.26606
Abcg2,0.762448936,13.33153,13.56105
Mpdu1,0.762382498,16.35023,16.57973
Selenbp2,0.761718112,19.29713,19.52643
Zmpste24,0.761153384,13.23019,13.45932
Derl2,0.759392762,13.093,13.3216
Hax1,0.758960912,12.15589,12.38436
F10,0.758063991,10.61986,10.84806
Manf,0.756934536,14.97376,15.20162
Rab2a,0.756801659,15.07913,15.30695
Ddrgk1,0.755738642,12.96605,13.19355
Ndufb8,0.754243774,14.98352,15.21057
Taok3,0.750988284,12.95931,13.18538
Strn3,0.748729373,12.07277,12.29816
Ube2k,0.747566698,14.54846,14.7735
Acp5,0.747367383,14.79962,15.0246
Tmem19,0.746038612,14.29204,14.51662
Gck,0.743214973,14.90188,15.12561
Aldh9a1,0.742218394,18.09985,18.32328
Reep6,0.741985859,17.66577,17.88913
Chchd3,0.739859825,15.41875,15.64147
Ndufc2,0.737069406,15.15271,15.37459
Cyp7b1,0.736106047,14.28203,14.50362
Anxa5,0.73593995,17.99827,18.21981
Ndufs7,0.734345425,15.72491,15.94597
Ak3,0.733913574,17.29928,17.52021
Cct7,0.732750899,15.7993,16.01988
Pgm2,0.732684461,17.42376,17.64432
Eif5a2,0.732319049,17.08243,17.30288
B2m,0.731089935,16.70065,16.92073
Pafah1b1,0.730259453,13.69141,13.91124
Hmox2,0.729761164,14.84668,15.06636
Copg,0.728864243,15.00228,15.22169
Egfr,0.728664928,14.1391,14.35845
Hmgn5,0.727601911,12.64066,12.85969
Fah,0.727037183,19.75985,19.97871
Gm8290,0.726804648,17.53176,17.75055
Mrps33,0.726406017,13.67772,13.89639
Cyp4a14,0.725010807,17.05648,17.27473
Ppp2ca,0.723848132,15.46356,15.68146
Gbe1,0.721987852,16.52045,16.73779
Mlec,0.721954633,15.0019,15.21923
Ero1lb,0.720592642,12.80472,13.02164
Bcl2l13,0.71976216,13.97646,14.19313
Gsn,0.718001538,14.60736,14.8235
Lnpep,0.71560975,13.0823,13.29772
Tspan31,0.714380637,12.15378,12.36883
Pex3,0.714148102,12.94368,13.15866
Gstm2,0.713483716,15.82542,16.0402
Caprin1,0.712420699,14.69802,14.91248
H2.K,0.712321041,15.85402,16.06845
Slc2a2,0.711191586,16.08195,16.29604
Prps2,0.710859393,16.03178,16.24577
Lman1,0.710593639,16.50263,16.71654
Eci1,0.709065552,18.05001,18.26346
Atp6v1b2,0.708932675,14.89144,15.10485
Rps4x,0.708268289,17.21393,17.42714
Dgkz,0.705079238,15.41845,15.6307
Eef1d,0.703883344,16.76619,16.97808
Man2a1,0.703717248,14.64694,14.85878
Mllt4,0.702853546,13.79182,14.0034
Hsd3b6,0.702155941,14.1672,14.37857
Flad1,0.699664495,13.33556,13.54618
Mat2a,0.698435382,19.54442,19.75467
Rps9,0.698169628,17.81769,18.02786
Hspg2,0.697970312,14.91718,15.12729
Ptges3,0.694150095,17.30663,17.51559
Dpm3,0.693817902,13.72365,13.93251
Rabggtb,0.692356254,12.95569,13.16411
Krt79,0.691957622,17.21177,17.42007
Psmc2,0.689864807,15.24106,15.44873
Sec62,0.688502817,14.90938,15.11664
Slc6a13,0.688070966,13.76886,13.97599
Cct4,0.687207265,15.80922,16.01609
Slc35a3,0.686775414,13.2102,13.41694
Gys2,0.685513082,15.03001,15.23637
Rpl11,0.685280547,16.95377,17.16006
Letm1,0.685014792,14.77797,14.98418
Slc25a10,0.684749038,16.11087,16.317
Atp1a1,0.683885337,16.67126,16.87713
Mob1a,0.683586363,12.58362,12.7894
Stard10,0.67956683,17.87053,18.0751
Calr,0.678603471,18.35788,18.56216
Rhoa,0.676842849,14.05599,14.25974
Ppm1a,0.675813052,14.73051,14.93395
Park7,0.675215105,17.84789,18.05115
Memo1,0.673454483,14.33532,14.53805
Tubb4a,0.67172708,16.53958,16.74179
Paip1,0.669933239,13.70373,13.9054
Sypl,0.669601046,14.37822,14.57979
Psmd8,0.669036318,14.98574,15.18714
Pfkm,0.668438371,13.05436,13.25558
Tjp1,0.666578092,14.14218,14.34284
Cul4a,0.665149662,12.87685,13.07708
Syap1,0.664584935,11.7939,11.99396
Por,0.662126708,17.5377,17.73702
Crot,0.661694857,15.68827,15.88746
Rps6,0.659901016,17.89442,18.09307
Farsa,0.656346553,14.88348,15.08106
Gch1,0.655283536,13.1484,13.34566
Agphd1,0.653987984,15.51096,15.70783
Npc1l1,0.653921545,13.47661,13.67346
Erlin2,0.65372223,14.19826,14.39505
Immt,0.651164345,15.58309,15.77911
Noc4,0.650732495,14.32102,14.51691
Pon3,0.649902012,16.23068,16.42632
Nme2,0.649735916,19.00739,19.20298
Serpinh1,0.649237627,14.71719,14.91263
Clptm1,0.647078374,14.47758,14.67237
Timm23,0.646081795,13.56928,13.76377
Nenf,0.645716383,13.86125,14.05563
Rps5,0.645716383,16.9769,17.17128
Tubb3,0.64541741,16.01545,16.20974
Pcbp3,0.642560551,15.83894,16.03237
Skiv2l2,0.641464315,14.07624,14.26934
D14Ertd449e,0.639770132,14.19942,14.39201
Apoc4,0.638607457,13.53234,13.72458
Arl6ip5,0.638275264,14.38384,14.57598
Hpx,0.635783818,16.10573,16.29712
Stat1,0.635617722,15.42256,15.6139
Rpl31,0.633691003,17.52704,17.7178
Got2,0.633159495,19.58065,19.77125
Cyp27a1,0.631232777,16.9964,17.18642
Ensa,0.630402295,12.28893,12.4787
Gpd2,0.629870786,15.34884,15.53845
Plaa,0.628475576,13.89944,14.08863
Acadvl,0.628276261,17.52681,17.71594
Mut,0.626582077,16.22749,16.41611
Ces2e,0.62508721,17.43032,17.61849
Atp5f1,0.623393026,17.83121,18.01887
Lypla1,0.623027614,16.96837,17.15592
Skp1a,0.622529325,15.34587,15.53327
Atp4a,0.622163913,15.19357,15.38086
Dsp,0.621200554,14.54541,14.73241
Rps15a,0.620868361,16.29951,16.48641
Yap1,0.620669045,12.34736,12.5342
Prodh,0.619738905,15.86001,16.04657
Slc31a1,0.619008081,12.76561,12.95195
Slc25a31,0.619008081,19.64589,19.83223
Hnf4a,0.61767931,13.44204,13.62798
Acad11,0.617247459,16.32766,16.51347
Mrpl38,0.616882047,12.2861,12.4718
Gfer,0.615752592,14.82556,15.01092
Eif4g1,0.615752592,14.75928,14.94464
Fn1,0.615486837,15.10716,15.29244
Psmd4,0.614822452,14.87585,15.06093
Lin7a,0.614656355,14.49196,14.67699
Hnmt,0.612264567,12.54417,12.72848
Rplp2,0.611267989,18.36596,18.54997
Ndufa6,0.610703261,15.43571,15.61955
Acsm3,0.608544008,15.16573,15.34892
Pgam5,0.608278253,11.88907,12.07218
Creld1,0.607348114,14.11455,14.29738
Serpina3k,0.605587492,15.40204,15.58434
Rpn1,0.605421395,16.85217,17.03442
Osbpl1a,0.605388176,14.11818,14.30042
Uhrf1,0.601833713,10.97167,11.15284
Hdhd2,0.600438503,14.07133,14.25208
Rps25,0.597116575,18.58832,18.76807
Mvp,0.59641897,15.30077,15.48031
Pds5b,0.596385751,13.99809,14.17762
Aadac,0.595787804,16.28741,16.46676
Serhl,0.595422392,11.03353,11.21277
Tmem109,0.593927524,14.15881,14.3376
Ctnna1,0.5931967,15.66073,15.8393
Acp2,0.588213808,11.62138,11.79845
Pitrm1,0.588180588,14.49992,14.67698
Impdh2,0.587051133,14.10394,14.28066
Tst,0.586220651,18.50189,18.67836
Epb4.1,0.585190853,13.16666,13.34282
Dars,0.583430231,16.16564,16.34127
Fmo5,0.583330573,18.26771,18.44331
Gusb,0.582931942,14.38944,14.56492
Pelo,0.580440496,14.31454,14.48927
Atp1a3,0.580340838,15.12852,15.30322
Asl,0.580207961,18.44598,18.62064
Ppm1b,0.578679874,14.11763,14.29183
Rpl5,0.578447339,16.77928,16.95341
Gcdh,0.577085349,18.39206,18.56578
Mapre3,0.577052129,14.72331,14.89702
Rab14,0.576886033,15.68528,15.85894
Eef2,0.57515863,18.12288,18.29602
Akr1c18,0.574427806,18.80144,18.97436
Mttp,0.574427806,17.88695,18.05987
Vps28,0.57422849,14.88536,15.05822
Vat1,0.572800061,15.08131,15.25374
H2.L,0.572334991,15.65589,15.82818
Selenbp1,0.572268553,18.23815,18.41042
Idh2,0.572168895,19.60596,19.7782
Eml4,0.571836702,12.80996,12.9821
Atp5b,0.570640808,20.3205,20.49228
Dap,0.568348678,13.35888,13.52997
Gamt,0.568182581,14.73583,14.90687
Twf2,0.564495241,13.44281,13.61274
Ccdc58,0.562335988,15.73609,15.90537
Serpinb6a,0.56223633,14.60406,14.77331
Mrps16,0.561638383,14.08939,14.25846
Dgat1,0.561239752,13.34309,13.51204
Apoa5,0.561040436,11.01112,11.18001
Sec23a,0.560675024,15.71817,15.88695
Slc4a4,0.560309612,13.73422,13.90289
Scarb1,0.559578788,14.82135,14.9898
Pld5,0.55901406,13.6919,13.86018
Lactb2,0.55808392,16.57025,16.73825
Yars,0.557685289,14.51633,14.68421
Pcmt1,0.55761885,14.02819,14.19605
Gsta1,0.554761992,17.31178,17.47878
Suox,0.554595895,18.08559,18.25254
Eif3b,0.553997948,14.99537,15.16214
Ndufa2,0.553566098,15.8151,15.98174
Hist2h2aa1,0.553167466,15.23745,15.40397
Poldip2,0.553067809,14.43095,14.59744
Akr1d1,0.552370204,16.96623,17.13251
Tmed2,0.55160616,14.25651,14.42256
Pzp,0.550377047,16.76152,16.9272
Acot4,0.549679442,14.95269,15.11816
H2afj,0.549247591,14.83783,15.00317
Aifm1,0.548516767,17.14394,17.30906
Fdx1l,0.545659909,13.0204,13.18466
Tmx4,0.54562669,11.22642,11.39067
Dsg2,0.544331138,12.17023,12.33409
Uqcrfs1,0.543733191,17.56834,17.73202
Aco1,0.543102024,17.06206,17.22555
Jup,0.542504077,15.06824,15.23155
Eif2s1,0.542337981,15.21087,15.37413
Scamp3,0.542105446,14.0395,14.20269
Cyp2e1,0.541308183,18.22432,18.38727
Csad,0.541308183,17.30153,17.46448
Prdx6,0.54100921,20.3158,20.47866
Palld,0.540112289,14.78645,14.94904
Hdac2,0.538916395,12.4978,12.66003
Ndufv2,0.538152351,15.98552,16.14752
Pdlim1,0.538085913,14.56705,14.72903
Prelp,0.536424949,14.50825,14.66973
Thrap3,0.535760563,13.85725,14.01853
Rps27,0.534332134,17.14646,17.30731
Cs,0.53406638,18.27916,18.43993
Rps18,0.532571512,17.46188,17.6222
Gm9781,0.530777671,14.46281,14.62259
Ndufb11,0.529548558,16.5679,16.72731
Eif4a3,0.527688278,17.11517,17.27402
Scarb2,0.526990673,14.84402,15.00266
Rbbp4,0.526093752,13.07787,13.23624
Eif4a1,0.525661902,17.38081,17.53905
Ctnna2,0.5247982,14.79942,14.9574
Cyfip2,0.524133815,14.30074,14.45852
Rab4a,0.523502648,13.89058,14.04817
Fgg,0.522805044,15.56399,15.72137
D10Wsu52e,0.522638947,14.58688,14.74421
Ap2a2,0.521675588,15.77882,15.93586
Taldo1,0.519649212,16.33286,16.48929
Rpl13,0.519582773,17.8059,17.96231
Pfkfb1,0.519549554,13.1961,13.3525
Tomm22,0.518552976,13.42588,13.58198
Twf1,0.518287221,14.86442,15.02044
Abhd12,0.517290643,13.36005,13.51577
Cmas,0.517290643,14.41003,14.56575
Atp1a4,0.514367346,16.9977,17.15254
Ccbl1,0.51373618,15.34708,15.50173
Myh9,0.513570083,16.87955,17.03415
Tm9sf4,0.513536864,14.87126,15.02585
Echdc3,0.510447471,15.4785,15.63216
Aldh7a1,0.50818856,17.57533,17.72831
Aadat,0.508055683,16.25582,16.40876
Dnm3,0.50679335,14.24647,14.39903
Timm8a1,0.505132386,16.35061,16.50267
Ndufa5,0.504733755,15.38727,15.53921
Mylk,0.504102588,14.65612,14.80787
Rdh14,0.503172449,13.8006,13.95207
Abhd3,0.501411827,13.44013,13.59107
Mdh2,0.501378607,19.52082,19.67175
Akap1,0.500946757,14.06894,14.21974
Sf3b4,0.499784082,13.16226,13.31271
Mrps35,0.498820723,13.21768,13.36784
Ube2v1,0.498621407,12.34915,12.49925
Nucb1,0.498355653,14.97072,15.12074
Ehhadh,0.497159759,18.35635,18.50601
Acp1,0.496528592,16.17627,16.32574
Atp7a,0.492442621,14.25895,14.40719
Cfh,0.492143647,14.00696,14.15511
Rab6a,0.491911112,14.02889,14.17697
Gfm2,0.491578919,12.80051,12.94849
Mrpl53,0.491180288,13.58147,13.72933
Fmo2,0.490515902,14.14053,14.28819
Actl6a,0.489785078,13.80992,13.95736
Rps11,0.489386447,16.34709,16.49441
Carkd,0.489021035,14.82415,14.97136
Arfgap2,0.488987816,14.1769,14.3241
Got1,0.487526167,18.55369,18.70045
Rpsa,0.486064519,18.05951,18.20583
Ndufs2,0.484469993,15.72483,15.87067
Cmtm6,0.482144644,12.49824,12.64338
Pmpca,0.481347381,14.66898,14.81388
Gmppb,0.480051829,14.78847,14.93298
Apoo,0.478889154,14.62078,14.76494
Uroc1,0.478789496,18.28207,18.4262
Cdo1,0.477493944,13.19078,13.33452
Eif3l,0.474969279,14.68496,14.82794
Ufc1,0.47447099,15.20117,15.344
Cyfip1,0.473042561,13.79022,13.93262
Acadl,0.472909684,17.68745,17.82981
Prkar2a,0.471547693,14.29361,14.43556
Eif3d,0.470982965,14.81418,14.95596
Ddt,0.470185703,20.00601,20.14755
Arf6,0.470052825,15.33833,15.47983
Phyh,0.46982029,16.10414,16.24557
Sh3bgrl2,0.469753852,14.1335,14.27491
Ppp2r2a,0.469753852,12.58824,12.72965
Serpinc1,0.468292204,14.78749,14.92846
Sar1b,0.468192546,17.79276,17.9337
Mycbp,0.467162748,13.88939,14.03002
Deptor,0.466896994,12.58157,12.72212
Ugt1a9,0.466797336,19.18262,19.32314
Tsta3,0.463408969,15.00891,15.14841
Pck1,0.463242873,17.34843,17.48788
Anxa1,0.462711364,14.20584,14.34513
Ttc36,0.462013759,17.29919,17.43827
Ap2m1,0.461449032,15.5462,15.68511
Ubfd1,0.459987383,13.41413,13.5526
Snx1,0.4582932,13.43062,13.56858
Cttn,0.455834973,15.09366,15.23088
mt.Nd1,0.455768535,13.39472,13.53192
Sfpq,0.455303465,15.59528,15.73234
Nudt2,0.454439763,15.0322,15.169
Tmem176a,0.454406544,12.61305,12.74984
Capn2,0.454207228,14.11347,14.2502
Psmd7,0.453343527,14.89693,15.0334
Hmox1,0.453177431,12.94911,13.08553
Nars,0.452546264,15.34428,15.48051
Atpaf2,0.452346949,13.56027,13.69644
Atp2a2,0.452047975,15.15457,15.29065
Hspa9,0.451948317,18.2909,18.42695
Actn4,0.451881879,16.57896,16.71499
Ctnna3,0.451051397,14.77038,14.90616
Vps26a,0.4508853,15.03576,15.17149
Prkar2b,0.450852081,13.75901,13.89473
Fhl1,0.450685985,13.56125,13.69692
Ndufab1,0.450154476,14.5683,14.70381
Scyl2,0.449157898,12.24278,12.37799
Apcs,0.447928784,15.7599,15.89474
Chi3l4,0.447895565,13.01932,13.15415
Dhx9,0.445935627,14.76404,14.89828
Ppp2r2d,0.445536996,13.08136,13.21548
Atp6v0d1,0.44444076,14.51779,14.65158
Map1lc3b,0.444241444,11.33173,11.46546
Tpmt,0.44397569,15.90652,16.04017
Igfbp4,0.44351062,11.34457,11.47808
Dcaf8,0.442680138,12.9773,13.11056
Acot1,0.442215068,13.6618,13.79492
St13,0.43982328,16.06801,16.20041
Dusp23,0.438826701,12.84583,12.97793
Hpca,0.436999641,13.70766,13.83921
Arpc5,0.436933202,16.30943,16.44096
Snrpe,0.43660101,14.73675,14.86818
Actg2,0.436335255,12.53923,12.67058
Slco1a5,0.436026316,9.810663,9.94192
Psma6,0.435870185,16.02574,16.15695
Psmb4,0.435438335,15.84423,15.97531
Rab21,0.435338677,15.3827,15.51375
Tubb5,0.43427566,18.02123,18.15196
Serpina3m,0.434076344,14.55926,14.68993
Acsf2,0.433312301,17.67658,17.80702
Pon2,0.432747573,13.97239,14.10266
H2.Ab1,0.431817433,11.15139,11.28138
Ywhaz,0.430521881,18.64597,18.77557
Ndufb4,0.429990373,15.07774,15.20718
Tm7sf2,0.429093452,15.29832,15.42749
Stbd1,0.428761259,15.10881,15.23788
Lsr,0.427963996,13.5713,13.70013
Rras2,0.427266392,14.44135,14.56997
Afg3l1,0.425605428,14.13474,14.26286
Ctss,0.424343095,13.58308,13.71082
Echs1,0.423612271,18.64622,18.77374
Rab19,0.423412955,12.74653,12.87399
Timm17b,0.422981104,14.05764,14.18497
Tubb2b,0.422648912,16.33624,16.46347
C4b,0.422217061,14.8173,14.9444
Mosc1,0.422150622,16.3291,16.45618
Gnpda2,0.422050964,13.61968,13.74673
Abcc6,0.419792053,13.99025,14.11662
Timm50,0.419160887,14.68692,14.8131
Acat2,0.418861913,18.69257,18.81866
Slc25a42,0.41484238,14.48555,14.61043
Gstz1,0.414576626,19.41693,19.54173
Blvra,0.414510188,15.8378,15.96258
Dazap1,0.414211214,14.66111,14.7858
Gstm5,0.414177995,14.97172,15.0964
Glyat,0.412384154,17.08315,17.20729
Irf3,0.409494076,13.67571,13.79898
Mlycd,0.409029006,14.37148,14.49461
Pfkp,0.408198524,13.80229,13.92517
Tmed9,0.406969411,14.75427,14.87678
Ndufv3,0.406271806,14.32052,14.44282
Eef1a1,0.405042693,19.2248,19.34673
Ewsr1,0.402418369,14.25608,14.37722
Suclg2,0.399362196,16.97812,17.09834
Nnmt,0.398199521,14.28276,14.40263
Ranbp3,0.397501916,11.90376,12.02342
Rhot2,0.396903969,12.84092,12.9604
Ddah2,0.396206364,15.51783,15.6371
Xylb,0.396106706,16.38607,16.50531
Rap1a,0.395674855,14.58747,14.70658
Asah1,0.394478961,14.50918,14.62793
Ciao1,0.391622103,13.75594,13.87383
Pcyox1,0.39035977,14.68303,14.80054
Sacm1l,0.388665587,15.00351,15.12051
Usp10,0.388499491,14.32311,14.44006
Mrpl49,0.386971404,13.92494,14.04143
Rpl27,0.386871746,17.88173,17.99819
Rps14,0.386539553,17.01593,17.13229
Uchl4,0.385841948,13.34057,13.45672
Cpq,0.385609413,13.74893,13.86501
Fis1,0.384081326,14.62185,14.73747
Ctsf,0.383583037,14.69434,14.80981
Slc27a5,0.382818994,17.37037,17.48561
Maob,0.381523442,17.1616,17.27645
Proc,0.38065974,11.94847,12.06306
Vps35,0.380261109,15.45538,15.56985
Mettl7b,0.379696381,17.78994,17.90424
Ecsit,0.379031996,12.083,12.1971
B3galt1,0.377749731,9.781748,9.895462
Acot12,0.375444313,15.04603,15.15905
Gstp2,0.374813147,18.25729,18.37012
Hgs,0.374281638,14.62344,14.73611
Aars,0.374248419,15.6177,15.73036
Eno1,0.373650472,19.86138,19.97386
Impdh1,0.369896693,13.6981,13.80945
Abce1,0.369797036,14.92267,15.03399
Col1a2,0.366607985,13.21771,13.32807
Nup88,0.366541546,12.90545,13.01579
Mccc2,0.366408669,15.86699,15.97729
Myo1d,0.364913801,13.40348,13.51333
Gcsh,0.363651469,16.01411,16.12358
Hmgcl,0.361957285,17.32758,17.43654
Arpc2,0.361658312,15.21444,15.32331
Crat,0.361359338,13.95352,14.0623
Rab11b,0.360429198,15.11862,15.22712
Acyp1,0.358602138,12.66801,12.77596
Psmb5,0.358070629,15.09666,15.20445
Mettl13,0.357373024,11.84783,11.95541
Anpep,0.354615824,15.04242,15.14917
Gm6560,0.35295486,16.35803,16.46428
Pml,0.352888422,14.69479,14.80102
Nat3,0.350828826,13.63674,13.74235
Dnaja2,0.35062951,15.81739,15.92294
Ppp1cb,0.350396975,13.97933,14.08481
Aip,0.350264098,12.42017,12.52561
Acad9,0.350031563,15.43802,15.54339
Otc,0.349898686,19.92674,20.03207
Hadha,0.349799028,18.59991,18.70521
Tbl2,0.349400397,13.60441,13.70959
Wdr11,0.347706214,12.25339,12.35806
C4bp,0.344782917,13.23451,13.3383
Lsm3,0.342723322,14.49331,14.59648
Cand1,0.342191813,16.18086,16.28387
Rbm47,0.341959278,13.79066,13.8936
Prrc2c,0.34189284,12.78699,12.88991
Rpl10a,0.3409627,17.64439,17.74703
Pdhb,0.338670569,16.33585,16.4378
Cpne1,0.338570911,13.95474,14.05666
Coq9,0.338371596,15.58451,15.68637
Clic4,0.336710632,14.53331,14.63467
Fxr1,0.336145904,13.81278,13.91397
Pycrl,0.335680834,15.27555,15.3766
Mrpl46,0.335647615,13.58819,13.68923
Usp5,0.335182545,15.42891,15.52981
Erbb4,0.334086309,13.63191,13.73248
M6pr,0.333787335,14.98192,15.0824
Mrps34,0.333588019,13.02362,13.12404
Hp1bp3,0.331927055,13.88504,13.98496
Apoh,0.331295889,14.69865,14.79838
Set,0.330897258,15.55713,15.65674
Tmem11,0.3307976,14.50143,14.60101
Txndc12,0.330598284,15.37651,15.47603
Aldh1a1,0.329767802,19.18828,19.28755
Alad,0.329435609,17.95753,18.0567
Dync1li1,0.328970539,13.70284,13.80187
Wdr5,0.328339373,13.65289,13.75173
Uchl3,0.326877725,14.98268,15.08108
Pdha1,0.326312997,16.65268,16.75091
Cd38,0.324751691,13.56345,13.66121
Hnrnpd,0.323290042,16.5345,16.63182
Pycr1,0.320798596,14.7105,14.80707
Slco2b1,0.320366745,11.78597,11.88241
Ralb,0.319403386,14.25741,14.35356
Snw1,0.318107834,13.31215,13.40791
Cops5,0.31644687,13.79562,13.89088
Tysnd1,0.31601502,12.25103,12.34616
Tubb4b,0.314885564,17.12266,17.21745
Eif2s3x,0.314287617,15.3794,15.47401
Snrpa1,0.314287617,14.36496,14.45957
Kif7,0.312095145,12.73539,12.82934
Cbs,0.311762952,17.78932,17.88317
Cst3,0.311198224,13.09016,13.18384
Prkar1a,0.310301303,13.86028,13.95369
Trappc3,0.310201646,14.307,14.40038
Sptan1,0.309504041,17.24724,17.34041
Pf4,0.30907219,13.41285,13.50589
Iars,0.308872874,16.03968,16.13266
Eif2b4,0.308573901,13.84322,13.93611
Magix,0.308308146,11.99161,12.08442
Lonp1,0.307344787,16.02845,16.12097
Cdk2,0.307178691,13.09708,13.18955
Rbp4,0.306946156,14.85193,14.94433
Uros,0.306946156,13.53836,13.63076
Ido2,0.30584992,14.98179,15.07386
Gnpnat1,0.305717043,14.94128,15.03331
Hars,0.305285192,15.71454,15.80644
Prpf40a,0.305152315,12.83877,12.93063
Rraga,0.304853341,13.56649,13.65826
Ddx17,0.304820122,14.61135,14.70311
Dpp4,0.304155736,15.78971,15.88127
Pex14,0.30216258,13.75784,13.8488
Ruvbl2,0.301930045,14.62111,14.712
H2.D1,0.301099563,16.33045,16.42109
Atp11c,0.30076737,14.84229,14.93283
Parl,0.300435177,12.79602,12.88646
Ccdc51,0.299571476,11.76251,11.85269
Mfap1,0.298508459,12.21983,12.30969
Esyt1,0.297844073,13.97499,14.06465
Psmd14,0.296781056,15.28349,15.37283
Hspa5,0.295983793,18.88342,18.97252
Zadh2,0.294688241,15.84313,15.93184
Hnrnpk,0.293060497,16.82132,16.90954
Adh7,0.292761523,15.69784,15.78597
Pccb,0.292263234,16.7866,16.87458
Naa15,0.292097137,14.16968,14.25761
Fmo1,0.292030699,16.9687,17.05661
Mta2,0.29199748,14.45514,14.54304
Ict1,0.291931041,13.82744,13.91532
Ugt3a2,0.29149919,16.65112,16.73887
Ptgr2,0.290635489,15.1348,15.22229
Timm44,0.290270077,14.42121,14.50859
Mrps17,0.289605691,13.30334,13.39052
Lmna,0.288144043,16.07864,16.16538
Ppil1,0.287712192,13.70868,13.79529
Sec31a,0.287612534,15.50923,15.59581
Cul1,0.287413219,14.63269,14.71921
Ggcx,0.286782052,14.07943,14.16576
Cyc1,0.28644986,16.95242,17.03865
Ndufa7,0.284822115,15.44937,15.53511
Ovca2,0.283991633,12.89576,12.98125
Rps2,0.283792317,17.55211,17.63754
Ech1,0.283061493,16.42461,16.50982
Stt3b,0.282131353,13.7605,13.84543
Iah1,0.282098134,16.53428,16.6192
Bgn,0.282098134,15.70789,15.79281
Dnajc19,0.276317979,14.6286,14.71178
Abcc2,0.276052225,18.75532,18.83842
Atp5d,0.275653593,18.27904,18.36202
Tfam,0.273693656,14.29158,14.37397
Tmem214,0.273627217,14.76953,14.8519
Hexa,0.272863174,13.90749,13.98963
Ifitm3,0.272464542,12.95493,13.03695
Tstd3,0.271700499,15.24659,15.32838
L2hgdh,0.27163406,14.8139,14.89567
Ccdc47,0.269873438,14.4661,14.54734
Rmdn2,0.269142614,14.34752,14.42854
Dguok,0.269009737,13.64065,13.72163
Acot2,0.266983361,15.098,15.17837
Macrod1,0.266916922,15.12939,15.20974
Echdc2,0.266152879,15.66588,15.746
Abhd6,0.265754248,13.06782,13.14782
Eif4g2,0.264956985,13.81432,13.89408
Gldc,0.264624792,16.00013,16.07979
Pgp,0.262764512,14.86699,14.94609
Gpx1,0.261169987,19.55979,19.63841
Pfdn2,0.2596419,14.08434,14.1625
Flt4,0.259309707,14.64276,14.72082
Nono,0.258479225,16.5444,16.62221
Spata5,0.258412787,17.48545,17.56324
Actbl2,0.257748401,14.29165,14.36924
Nit1,0.256286753,15.95227,16.02942
Ilf3,0.256153875,13.99757,14.07468
Ddx3x,0.256153875,16.02934,16.10645
Tmem205,0.254360034,16.66428,16.74085
Celf2,0.253861745,14.18192,14.25834
Eif2s3y,0.253496333,15.36799,15.4443
Arpc5l,0.253263798,14.94912,15.02536
Cct6a,0.252234,15.88986,15.96579
Ptpra,0.251204203,13.34601,13.42163
Epn1,0.250672694,14.32181,14.39727
Vcp,0.250672694,17.48778,17.56324
Bpnt1,0.250041528,15.70572,15.78099
Mrpl22,0.249975089,11.89093,11.96618
Snx4,0.248812414,12.27129,12.34619
Cyp2c70,0.248148029,15.88775,15.96245
Atp6v1d,0.24808159,13.68951,13.76419
