Diet,Fold Change HF/CD,CD,HF
Lyz1,-0.372394783,7.096852,6.98475
Pigm,-0.372394783,6.191852,6.07975
Rapgef5,-0.372331667,6.883333,6.77125
Cd84,-0.372178858,8.622037,8.51
Klk1b3,-0.372119063,3.458519,3.3465
Qsox2,-0.371869919,5.814444,5.7025
Cdh20,-0.371840021,3.810185,3.69825
Gm21992,-0.371810124,8.620926,8.509
Impad1,-0.371810124,8.545926,8.434
Adamts2,-0.371780227,5.296667,5.18475
Gm1070,-0.371780227,5.471667,5.35975
Calcoco1,-0.371657315,9.09963,8.98775
Crip1,-0.371564301,5.901852,5.79
Olfr1053,-0.371534404,4.437593,4.32575
Actr1a,-0.371458,10.30907,10.19725
Ifna7,-0.371318479,5.477778,5.366
Msl2,-0.371162348,7.361481,7.24975
Hapln2,-0.371102553,3.517963,3.40625
Cyp2r1,-0.371072656,8.493704,8.382
Ltb4r1,-0.371072656,4.768704,4.657
Lamtor3,-0.371009539,8.665185,8.5535
Ppip5k2,-0.370860053,10.40889,10.29725
Olfr466,-0.370826833,4.90963,4.798
Pds5a,-0.370793614,9.12037,9.00875
Olfr1436,-0.370547791,3.901296,3.78975
Rap1b,-0.370461421,12.41852,12.307
Gm21762,-0.37042488,3.814259,3.70275
Ffar3,-0.370331866,3.541481,3.43
Gm21789,-0.370208955,4.879444,4.768
Kcnq3,-0.370179057,4.145185,4.03375
Gm6482,-0.370086043,3.627407,3.516
Grik3,-0.369933235,3.756111,3.64475
Mt3,-0.369933235,3.526111,3.41475
Gm20823.3,-0.369780426,4.194815,4.0835
Gm7125,-0.369780426,8.029815,7.9185
Pacs2,-0.369717309,6.466296,6.355
Gyk,-0.369627617,3.773519,3.66225
Mtr,-0.369627617,7.693519,7.58225
Nup188,-0.369318678,4.290926,4.17975
Ciao1,-0.369288781,9.681667,9.5705
Adh6b,-0.369225664,3.333148,3.222
Espn,-0.369009739,5.033333,4.92225
Epb4.1l3,-0.368827033,6.252778,6.14175
Plxdc1,-0.368827033,4.402778,4.29175
Panx3,-0.368734019,3.875,3.764
Hmgxb3,-0.368704121,6.560741,6.44975
Plcl1,-0.368425079,3.972407,3.8615
Glra2,-0.368395182,3.758148,3.64725
Klf5,-0.368302168,5.77537,5.6645
Kpna1,-0.368056345,9.046296,8.9355
Mageb16.ps1,-0.368026448,4.462037,4.35125
Prpf40b,-0.368026448,4.257037,4.14625
Gfpt2,-0.367873639,6.550741,6.44
Ilkap,-0.367873639,8.475741,8.365
Ndufc2,-0.367803879,13.65222,13.5415
Ankrd34a,-0.367717509,3.179444,3.06875
Acpl2,-0.367657714,4.725926,4.61525
Dppa5a,-0.3675647,5.073148,4.9625
Fancd2,-0.3675647,4.828148,4.7175
Gm21447,-0.367411891,5.126852,5.01625
Gm21657,-0.367411891,5.126852,5.01625
Jazf1,-0.367411891,4.086852,3.97625
Gm5925,-0.367102952,4.289259,4.17875
D1Pas1,-0.367043157,4.060741,3.95025
Pdcd11,-0.367043157,6.440741,6.33025
Phlda2,-0.367043157,3.605741,3.49525
Ptcd2,-0.367009938,9.426481,9.316
Gm6710,-0.366940177,12.87796,12.7675
Mtmr14,-0.366797334,8.121667,8.01125
Olfr1015,-0.366764115,4.327407,4.217
Fam122c,-0.36670432,5.198889,5.0885
Herc4,-0.366518292,9.193333,9.083
Agbl5,-0.366488395,6.274074,6.16375
Anln,-0.366365484,4.657037,4.54675
Psen2,-0.365777503,10.89111,10.781
Gm6713,-0.36568781,5.318333,5.20825
Nol8,-0.36541209,7.59,7.48
Mmp14,-0.365382193,7.400741,7.29075
Eng,-0.365378871,11.40074,11.29075
Prpf18,-0.36513637,8.211667,8.10175
Hist1h2bh,-0.365073254,8.543148,8.43325
Mrgprb4,-0.36498024,4.27037,4.1605
Grin2c,-0.364920445,3.951852,3.842
Gm438,-0.364857328,5.303333,5.1935
Gm10597,-0.364797534,5.719815,5.61
Gm10597.1,-0.364797534,5.719815,5.61
Klhl26,-0.364644725,4.688519,4.57875
Cspg4,-0.3644288,3.658704,3.549
Ceacam1,-0.364415512,14.0437,13.934
Pld6,-0.364365683,6.210185,6.1005
Figf,-0.364335786,4.960926,4.85125
Gm15401,-0.364335786,5.110926,5.00125
Ctu1,-0.364305888,5.171667,5.062
Defa12,-0.364272669,4.287407,4.17775
Psmd4,-0.364216196,11.25889,11.14925
Ccbe1,-0.364060066,6.777593,6.668
Gm14393,-0.363983661,10.34407,10.2345
Gm6401,-0.36384414,4.987778,4.87825
Hmha1,-0.363259481,6.631852,6.5225
Cdk15,-0.363229584,2.737593,2.62825
Cldn16,-0.363106672,4.060556,3.95125
Antxr2,-0.362983761,6.953519,6.84425
Dnase1l1,-0.36282763,5.692222,5.583
Olfr32,-0.362767836,5.883704,5.7745
G2e3,-0.362611705,6.082407,5.97325
Gm9643,-0.362522013,4.42463,4.3155
Calb1,-0.362428999,4.156852,4.04775
Fem1b,-0.362428999,6.161852,6.05275
Gm4297,-0.362428999,5.091852,4.98275
Pou5f2,-0.362365882,3.923333,3.81425
Itpripl2,-0.362183176,5.742778,5.63375
Hipk2,-0.362090162,11.225,11.116
Dr1,-0.361997148,7.292222,7.18325
Mcm2,-0.361781223,5.317407,5.2085
N4bp2l2,-0.36175797,10.43315,10.32425
Olfr62,-0.361691531,3.64963,3.54075
Pank2,-0.361598517,9.941852,9.833
Ppp2r1a,-0.361558654,11.77259,11.66375
Hps5,-0.3615354,5.788333,5.6795
Ndrg3,-0.361475606,9.434815,9.326
Ppp1r8,-0.361445708,7.445556,7.33675
Map2k5,-0.361352694,9.067778,8.959
Lipt2,-0.361322797,7.128519,7.01975
Ifnb1,-0.361166666,4.607222,4.4985
Defa.rs12,-0.361136769,3.727963,3.61925
Pnmt,-0.360950741,3.922407,3.81375
Gm7616,-0.360920844,3.808148,3.6995
Lsmem1,-0.360675021,4.809074,4.7005
Gm10696,-0.360615226,4.595556,4.487
Gm19965,-0.360459096,4.484259,4.37575
Gm10413,-0.36027639,5.768704,5.66025
Gm8279,-0.36027639,5.768704,5.66025
Clasp2,-0.360090362,5.928148,5.81975
Gng4,-0.35996745,6.511111,6.40275
Gdf11,-0.359937553,2.821852,2.7135
Drc1,-0.359814642,6.179815,6.0715
Kat2b,-0.359751525,7.671296,7.563
Ptpdc1,-0.359721628,5.052037,4.94375
Cd7,-0.359628614,3.804259,3.696
Fut8,-0.359628614,6.684259,6.576
Man2b1,-0.3595356,9.746481,9.63825
Gadd45g,-0.359475805,7.697963,7.58975
Olfr483,-0.359136968,4.631111,4.523
Arhgap25,-0.359077174,5.502593,5.3945
Aurkc,-0.359043954,5.433333,5.32525
Casp1,-0.358921043,7.536296,7.42825
Cdh22,-0.358768234,3.675,3.567
Gm14308.2,-0.358668576,12.85722,12.74925
Grxcr2,-0.358645323,4.257963,4.15
Eif4a1,-0.358568919,13.55944,13.4515
AI118078,-0.358306486,3.956111,3.84825
Gm5820,-0.358306486,3.876111,3.76825
Fam40b,-0.358276589,3.461852,3.354
Mfn1,-0.358090561,8.931296,8.8235
Eddm3b,-0.358000869,5.373519,5.26575
Cdc40,-0.35796765,9.404259,9.2965
Opn5,-0.357874636,4.051481,3.94375
Coro2a,-0.357598916,5.213148,5.1055
Cdan1,-0.35741621,4.097593,3.99
Gm773,-0.357323196,5.494815,5.38725
Ngrn,-0.357260079,7.691296,7.58375
Aldh1a7,-0.357173709,12.42352,12.316
Mepce,-0.357170387,8.788519,8.681
Ddx46,-0.35710727,8.405,8.2975
Il1rapl2,-0.356891345,4.580185,4.47275
Gm7954,-0.356645522,5.051111,4.94375
H2.Q7,-0.356615625,8.491852,8.3845
Gpatch1,-0.356522611,7.634074,7.52675
Esco2,-0.356429597,4.286296,4.179
H2.M9,-0.356306686,3.999259,3.892
Lrrtm3,-0.356153877,5.292963,5.18575
Gm428,-0.356060863,4.420185,4.313
Hist1h2bf,-0.356060863,9.200185,9.093
Car1,-0.356001068,8.746667,8.6395
Gm3149,-0.355937952,5.358148,5.251
Noc2l,-0.355692129,7.704074,7.597
Olfr860,-0.355632334,4.100556,3.9935
Hs6st2,-0.355416409,3.640741,3.53375
Mcpt1,-0.355416409,3.830741,3.72375
Ms4a4a,-0.355137367,5.187407,5.0805
Hhipl2,-0.354861647,5.109074,5.00225
Gm3115,-0.354708838,4.202778,4.096
Lrrc32,-0.354678941,6.188519,6.08175
Mro,-0.354340104,6.541667,6.435
Fbxl19,-0.354276987,4.943148,4.8365
Olfr212,-0.354031165,3.939074,3.8325
Mau2,-0.353722225,7.526481,7.42
Bbs7,-0.353692328,5.512222,5.40575
Olfr1156,-0.353692328,4.007222,3.90075
Ctf2,-0.353509622,5.001667,4.89525
Fbxw14,-0.353446505,5.368148,5.26175
Dct,-0.353323594,4.161111,4.05475
Map1b,-0.353263799,4.207593,4.10125
Nexn,-0.353170785,4.804815,4.6985
Fam193b,-0.353047874,4.897778,4.7915
Ccdc11,-0.352984757,5.504259,5.398
Olfr1030,-0.35295486,4.685,4.57875
Pik3ip1,-0.352831949,5.922963,5.81675
Clec3b,-0.352586126,4.388889,4.28275
Atp7a,-0.352493112,6.221111,6.115
Gjb6,-0.352463215,3.601852,3.49575
Gm10417,-0.352400098,3.423333,3.31725
Daxx,-0.352370201,5.759074,5.653
Adam1b,-0.352187495,5.738519,5.6325
Ppp2r3a,-0.352187495,8.563519,8.4575
Morn5,-0.352154275,4.279259,4.17325
Kir3dl1,-0.352094481,4.000741,3.89475
Gm10800,-0.352091159,11.49574,11.38975
Arglu1,-0.352061261,7.991481,7.8855
Epx,-0.352031364,3.897222,3.79125
Nosip,-0.352001467,8.982963,8.877
Mex3a,-0.351878555,3.885926,3.78
Arhgef7,-0.351848658,7.916667,7.81075
Cd79b,-0.351785541,5.413148,5.30725
Fxyd6,-0.351725747,5.41463,5.30875
Mgrn1,-0.351230779,9.296481,9.19075
Psma7,-0.351161019,11.74296,11.63725
Gm8246,-0.350955059,4.678148,4.5725
Cdhr1,-0.350862045,3.56537,3.45975
Gm9821,-0.350739134,3.973333,3.86775
Pde4c,-0.350709237,8.254074,8.1485
Nedd4,-0.350496633,11.59426,11.48875
Olfr656,-0.350433517,3.525741,3.42025
Olr1,-0.350433517,3.920741,3.81525
Gng3,-0.350400297,4.801481,4.696
AF067061,-0.350310605,3.233704,3.12825
Krt12,-0.350187694,6.176667,6.07125
Olfr550,-0.350187694,3.596667,3.49125
Cd5,-0.349971769,4.886852,4.7815
Grxcr1,-0.349848857,4.729815,4.6245
Ptprj,-0.349799028,11.2813,11.176
Aff3,-0.349696049,6.193519,6.08825
Dnm1l,-0.349666151,10.34426,10.239
Lhx4,-0.349662829,6.314259,6.209
Lonrf2,-0.349264198,3.643889,3.53875
Lphn1,-0.349201081,4.97537,4.87025
Nos2,-0.348955259,4.911296,4.80625
Kcnab1,-0.348925361,3.547037,3.442
Plxnb3,-0.348832347,5.284259,5.17925
Gm5622,-0.34880245,5.225,5.12
Fgfr1,-0.348709436,3.357222,3.25225
Pik3cd,-0.348709436,6.247222,6.14225
Eif2c4,-0.348616422,5.789444,5.6845
Klk11,-0.348586525,3.390185,3.28525
Gpatch4,-0.348493511,6.997407,6.8925
Dact2,-0.348433716,6.548889,6.444
Prrt1,-0.348403819,5.27463,5.16975
Fam198a,-0.348370599,6.21037,6.1055
Asb5,-0.347942071,3.835741,3.731
Gm21763,-0.347908851,3.591481,3.48675
Gpr3,-0.347908851,4.776481,4.67175
Nek8,-0.347878954,4.437222,4.3325
Dmrt3,-0.347663029,4.772407,4.66775
Gkn3,-0.347357411,3.234815,3.13025
Olfr746,-0.347327514,3.910556,3.806
Ing5,-0.347171383,6.064259,5.95975
Lrig2,-0.347171383,6.594259,6.48975
Acin1,-0.346925561,7.350185,7.24575
Defa.rs10,-0.346895663,4.090926,3.9865
Eogt,-0.346772752,6.758889,6.6545
Atp10a,-0.346709635,4.56037,4.456
Olfr885,-0.346709635,4.67537,4.571
Mfsd6l,-0.346649841,2.916852,2.8125
Catsperb,-0.346311004,4.19,4.08575
Rad18,-0.34621799,5.832222,5.728
Eif2a,-0.345912373,10.84963,10.7455
Gtpbp3,-0.345879153,7.07037,6.96625
Noc3l,-0.345879153,6.76037,6.65625
Klk10,-0.345849256,4.521111,4.417
Chchd4,-0.345726345,6.179074,6.075
Cdr1,-0.34566655,5.385556,5.2815
Gm26596,-0.345633331,3.381296,3.27725
Lrrc8e,-0.345633331,3.626296,3.52225
Mcpt4,-0.345603433,5.307037,5.203
Gm14399,-0.345513741,15.21426,15.11025
Ntan1,-0.345387508,8.172222,8.06825
Ppp1r21,-0.345387508,8.447222,8.34325
Bcl9l,-0.345357611,7.742963,7.639
Cd27,-0.345357611,2.982963,2.879
Olfr1427,-0.345357611,4.817963,4.714
Mef2a,-0.345347645,11.02296,10.919
Adam7,-0.345294494,4.609444,4.5055
Cklf,-0.345294494,5.909444,5.8055
Gap43,-0.345294494,5.254444,5.1505
Ppp4r2,-0.345294494,9.159444,9.0555
Fam179b,-0.345171583,7.812407,7.7085
Ankrd27,-0.345141685,8.093148,7.98925
Myh7,-0.34508189,4.33463,4.23075
Clcn4.2,-0.344988877,8.176852,8.073
Fbxo32,-0.344958979,6.257593,6.15375
Exoc2,-0.344836068,9.200556,9.09675
Brms1,-0.344679937,5.954259,5.8505
H2afy,-0.344616821,10.28574,10.182
Cenpl,-0.344527129,4.622963,4.51925
Olfr1065,-0.344404217,4.045926,3.94225
Fign,-0.34437432,6.701667,6.598
Gnb1l,-0.344251408,3.53463,3.431
Myh11,-0.344218189,5.33037,5.22675
Fam129c,-0.344158394,2.531852,2.42825
Gm10974,-0.344118531,10.00259,9.899
Mmp21,-0.344035483,4.189815,4.08625
Dfna5,-0.343972367,4.356296,4.25275
Gm6351,-0.34378966,4.985741,4.88225
Gm7982,-0.34378966,4.985741,4.88225
Dnase1l2,-0.343756441,5.531481,5.428
Klhdc8b,-0.343696646,4.322963,4.2195
Gsdmc2,-0.343666749,4.183704,4.08025
Palm3,-0.343450824,3.733889,3.6305
Clcn6,-0.343420926,5.41963,5.31625
Dazap2,-0.343188391,12.20481,12.1015
Lrrc74a,-0.343111987,3.357037,3.25375
Lmo2,-0.342925959,5.351481,5.24825
Klrc1,-0.342713356,3.866667,3.7635
Mef2c,-0.342557225,6.95037,6.84725
Gm6682,-0.342424348,13.23333,13.13025
Arhgap15,-0.342251608,6.897778,6.79475
Akt3,-0.342158594,6.635,6.532
Cstf3,-0.342158594,7.095,6.992
Gm17655,-0.342128696,6.275741,6.17275
Gm11042,-0.342092155,12.63148,12.5285
Frrs1l,-0.341972566,3.739444,3.6365
Magel2,-0.341882874,3.251667,3.14875
Il31ra,-0.341819757,4.023148,3.92025
Osbpl6,-0.34151414,4.015556,3.91275
Ccnl2,-0.341391228,8.788519,8.68575
Lrrn4cl,-0.341328112,3.725,3.62225
Pwwp2b,-0.341175303,4.578704,4.476
Azi1,-0.341052392,6.786667,6.684
Car6,-0.341052392,5.191667,5.089
Gm16405.5,-0.341019172,3.722407,3.61975
Gli1,-0.340989275,4.573148,4.4705
Arg1,-0.340896261,16.33537,16.23275
Lrrc69,-0.340866364,3.866111,3.7635
Parp8,-0.340836466,5.761852,5.65925
Cenph,-0.34049763,5.15,5.0475
Rab19,-0.340467732,4.425741,4.32325
Adssl1,-0.340281704,8.855185,8.75275
Gm8126,-0.340251807,5.230926,5.1285
Ip6k3,-0.340251807,3.525926,3.4235
Cstl1,-0.34018869,4.057407,3.955
Cmtm7,-0.340005984,7.306852,7.2045
Ccnd3,-0.339899683,10.39407,10.29175
Nek1,-0.339790059,7.257037,7.15475
Fosl2,-0.339697045,6.159259,6.057
Ncapg2,-0.339514339,4.573704,4.4715
Kif24,-0.339451222,4.080185,3.978
Lipf,-0.339451222,3.990185,3.888
Dcaf10,-0.339358208,8.847407,8.74525
Hist1h2ai,-0.339235297,10.35537,10.25325
Cyth2,-0.339052591,8.334815,8.23275
Ipo7,-0.338903104,11.69352,11.5915
Gm3944,-0.338773549,4.616481,4.5145
Olfr1261,-0.33862074,4.835185,4.73325
Dclk3,-0.338374918,4.741111,4.63925
Pinx1,-0.338252006,6.664074,6.56225
Fam115a,-0.337820156,5.934444,5.83275
Espl1,-0.337238818,5.038519,4.937
Itgb2,-0.337082688,6.652222,6.55075
Gm21738,-0.33705279,5.787963,5.6865
Acsm2,-0.337022893,4.693704,4.59225
Avl9,-0.336866762,8.477407,8.376
Krtap19.9b,-0.33662094,3.718333,3.617
Olfr435,-0.336498028,4.301296,4.2
Pfkfb4,-0.336468131,5.097037,4.99575
Cebpe,-0.336315322,4.350741,4.2495
Npffr1,-0.336315322,3.530741,3.4295
Foxc2,-0.336252206,3.892222,3.791
Olfr24,-0.336252206,4.012222,3.911
Prcc,-0.336099397,9.000926,8.89975
Olfr1109,-0.336006383,4.123148,4.022
Cflar,-0.33588015,10.68111,10.58
Gripap1,-0.335823677,6.907593,6.8065
Gm13286,-0.335790458,5.508333,5.40725
Dcaf15,-0.33576056,5.264074,5.163
Nradd,-0.335667546,4.391296,4.29025
Fam174b,-0.335391826,6.337963,6.237
Gdap1l1,-0.335361929,5.338704,5.23775
Gse1,-0.33532871,5.109444,5.0085
Actc1,-0.335239018,5.801667,5.70075
Neurod6,-0.33505299,4.726111,4.62525
Gm4745,-0.334870284,6.355556,6.25475
Prame,-0.334837064,3.336296,3.2355
Gm3460,-0.33477727,4.212778,4.112
Pld1,-0.334714153,6.434259,6.3335
Gm5886,-0.334684256,3.73,3.62925
Il12rb2,-0.334531447,5.013704,4.913
B4galnt2,-0.33446833,3.635185,3.5345
Med13,-0.33446833,8.340185,8.2395
Pelp1,-0.334438433,3.910926,3.81025
Ik,-0.334418501,10.31167,10.211
Olfr809,-0.334345419,4.703148,4.6025
Dapl1,-0.334315522,5.543889,5.44325
Edaradd,-0.334285624,6.16463,6.064
Nf2,-0.334285624,6.62963,6.529
Ostf1,-0.334285624,9.84463,9.744
Gm16833,-0.334222508,4.351111,4.2505
Mpzl1,-0.334162713,6.332593,6.232
Gm17078,-0.333946788,4.892778,4.79225
Ofcc1,-0.33376076,5.062222,4.96175
Cldn18,-0.333578054,5.066667,4.96625
Bcap29,-0.333514937,8.418148,8.31775
Hist1h2ab,-0.333392026,7.921111,7.82075
Cbx2,-0.333299012,6.873333,6.773
Nf1,-0.333209319,8.750556,8.65025
Dlg2,-0.333146203,3.887037,3.78675
Abtb1,-0.332993394,5.530741,5.4305
Arap1,-0.332960175,8.486481,8.38625
Olfr780,-0.332870483,4.053704,3.9535
Elavl1,-0.332837264,8.949444,8.84925
Cd200r1,-0.33262466,6.01963,5.9195
Olfr794,-0.33262466,3.75463,3.6545
Mettl17,-0.332531646,8.136852,8.03675
Nts,-0.332531646,3.626852,3.52675
Cyp2j8,-0.332501749,5.112593,5.0125
Gm2026,-0.332392125,14.20056,14.1005
Best1,-0.332345618,4.521296,4.42125
Gm6747,-0.332292467,12.13778,12.03775
Gm10147.1,-0.332285823,4.897778,4.79775
Arpc2,-0.332259248,14.02852,13.9285
Aknad1,-0.332255926,5.208519,5.1085
Defa.rs2,-0.332099796,3.857222,3.75725
Fam132a,-0.332006782,3.294444,3.1945
Cdh5,-0.331860617,10.18315,10.08325
Nup107,-0.331853973,7.258148,7.15825
Fkbp1b,-0.331824075,4.393889,4.294
Olfr275,-0.331760959,3.07037,2.9705
Otogl,-0.331760959,3.74537,3.6455
Pdrg1,-0.331638047,6.753333,6.6535
Htr1b,-0.331578253,4.209815,4.11
Hist1h3h,-0.331455341,8.702778,8.603
Gm8362,-0.331392225,5.369259,5.2695
Fam109b,-0.331362327,4.49,4.39025
Erich6b,-0.331299211,3.941481,3.84175
Otud6a,-0.331299211,4.061481,3.96175
Defb26,-0.331269313,4.447222,4.3475
Olfr1163,-0.331176299,4.234444,4.13475
Col4a3bp,-0.331116505,9.325926,9.22625
Kcna5,-0.331053388,4.367407,4.26775
Gins3,-0.330993593,5.933889,5.83425
Fer1l6,-0.330807565,5.173333,5.07375
Olfr469,-0.330286023,4.100926,4.0015
Ptcra,-0.330193009,5.418148,5.31875
Coro1b,-0.329917289,9.849815,9.7505
Ephb6,-0.329887391,4.245556,4.14625
Nr2e3,-0.329794377,5.447778,5.3485
Mir339,-0.329638247,4.116481,4.01725
Prkab2,-0.329638247,5.436481,5.33725
Kdm4c,-0.329548555,7.613704,7.5145
AU021063,-0.329485438,2.975185,2.876
Mgat3,-0.329425643,3.326667,3.2275
Ptpn2,-0.329239615,8.051111,7.952
Mfi2,-0.329209718,4.761852,4.66275
Pppde1,-0.329209718,7.781852,7.68275
Ephb3,-0.329146601,4.693333,4.59425
Fbxo28,-0.329086807,6.244815,6.14575
Olfr1254,-0.32902369,4.101296,4.00225
Olfr665,-0.328963895,3.032778,2.93375
Gm20834,-0.328933998,4.463519,4.3645
BC037034,-0.328777867,7.037222,6.93825
Ddx17,-0.328605127,10.58667,10.48775
Ccdc84,-0.328595161,7.316667,7.21775
Phactr3,-0.328502147,6.173889,6.075
Appbp2,-0.328379236,8.546852,8.448
Mafa,-0.328256325,3.854815,3.756
Fabp6,-0.328226427,4.350556,4.25175
Epb4.1l5,-0.327841084,10.25519,10.1565
Gm21773,-0.327518857,4.792593,4.694
Adam25,-0.32745574,5.904074,5.8055
Fam163a,-0.32745574,4.064074,3.9655
Gpn3,-0.327395945,6.030556,5.932
Dhrs13,-0.327023889,5.064444,4.966
Gm10647,-0.326900978,3.832407,3.734
Ankhd1,-0.326811286,6.15963,6.06125
Olfr1394,-0.326811286,4.29963,4.20125
Nhs,-0.326718272,5.291852,5.1935
Gimap1,-0.326625258,4.829074,4.73075
Gm2016,-0.326532244,3.906296,3.808
Atp13a3,-0.326412655,10.13926,10.041
Coch,-0.326379435,4.195,4.09675
Gm8024,-0.32616351,4.835185,4.737
Cdc14b,-0.326103715,9.851667,9.7535
Gm4846,-0.326010701,5.148889,5.05075
Olfr1310,-0.326010701,4.658889,4.56075
Dbpht2,-0.325824673,3.938333,3.84025
Krtap13.1,-0.325794776,3.519074,3.421
Pcdhb18,-0.325734981,3.300556,3.2025
Capn6,-0.325671865,2.962037,2.864
Kcnq4,-0.325519056,3.990741,3.89275
Kpna6,-0.325519056,9.460741,9.36275
Mbtd1,-0.325519056,7.660741,7.56275
Ccdc34,-0.325240014,6.017407,5.9195
Lgsn,-0.324964294,5.074074,4.97625
Lck,-0.324781588,4.478519,4.38075
Ddit4,-0.324718471,6.14,6.04225
Lrdd,-0.324688574,4.855741,4.758
Ets1,-0.324442751,8.296667,8.199
Glmn,-0.324409532,6.787407,6.68975
Gm8159,-0.324349737,4.038889,3.94125
Armc9,-0.324226826,4.861852,4.76425
Gm21957,-0.324226826,3.816852,3.71925
Psmd2,-0.324087305,11.14981,11.05225
Cir1,-0.324010901,9.187037,9.0895
Chrm4,-0.323824873,3.796481,3.699
Kdm6b,-0.323794975,7.657222,7.55975
AA474331,-0.323642167,6.830926,6.7335
Gm20937,-0.32357905,6.267407,6.17
Ext2,-0.323549153,6.393148,6.29575
Dnmt3a,-0.323456139,6.93037,6.833
Birc2,-0.323057507,7.75,7.65275
Gm1818,-0.322994391,8.916481,8.81925
Gen1,-0.322718671,5.168148,5.071
Atf1,-0.322595759,7.771111,7.674
Rab35,-0.322442951,7.564815,7.46775
Dagla,-0.322227025,5.27,5.173
Rab3gap2,-0.322163909,6.716481,6.6195
Chst15,-0.321828394,8.97963,8.88275
Otud3,-0.321828394,5.88963,5.79275
Gm9696,-0.321765277,5.146111,5.04925
Matn3,-0.321705482,3.562593,3.46575
Mecp2,-0.321396543,6.94,6.84325
Mmp23,-0.321333427,5.706481,5.60975
Kcnb2,-0.321273632,3.392963,3.29625
Krt83,-0.321243734,5.598704,5.502
Arr3,-0.321210515,4.749444,4.65275
AK010878,-0.321057707,5.083148,4.9865
Gsk3b,-0.320964693,10.97537,10.87875
Olfr890,-0.320934795,5.186111,5.0895
Rabl6,-0.320841781,7.008333,6.91175
Gm10936,-0.32071887,4.906296,4.80975
Cand1,-0.320595959,9.069259,8.97275
Arpc3,-0.320532842,10.93574,10.83925
Adam17,-0.32044315,8.852963,8.7565
Cxcl2,-0.32044315,3.427963,3.3315
Gm16130,-0.32044315,4.302963,4.2065
Gm17359,-0.32044315,3.547963,3.4515
Elmo2,-0.320380033,6.469444,6.373
Gm17333,-0.320257122,6.357407,6.261
P2ry14,-0.320257122,6.597407,6.501
Krtap7.1,-0.32016743,3.44963,3.35325
Ftsj3,-0.320134211,7.04537,6.949
Myof,-0.320011299,6.653333,6.557
Epha7,-0.319828593,6.532778,6.4365
BC003266,-0.319765476,6.014259,5.918
Olfr59,-0.319765476,3.554259,3.458
Catsper4,-0.319612668,6.022963,5.92675
Polr1d,-0.319366845,9.503889,9.40775
Gm2399,-0.319180817,8.698333,8.60225
Arid3a,-0.31915092,8.094074,7.998
Mapre2,-0.319121022,8.559815,8.46375
Celsr1,-0.319091125,6.675556,6.5795
Bard1,-0.319028008,4.637037,4.541
Clta,-0.318572904,13.15315,13.05725
Olfr698,-0.318536363,3.838889,3.743
Itga6,-0.318473246,6.58037,6.4845
Mpp3,-0.318443349,3.596111,3.50025
Mmp1a,-0.318260643,4.675556,4.57975
Nrl,-0.318227424,4.266296,4.1705
Gpr88,-0.318167629,3.837778,3.742
Mogat2,-0.318104512,4.884259,4.7885
H2.M11,-0.317921806,4.223704,4.128
Olfr1274.ps,-0.317888587,3.049444,2.95375
Gm5773,-0.31785869,3.785185,3.6895
Gm10024,-0.317798895,4.006667,3.911
Olfr60,-0.317798895,3.571667,3.476
Arhgap30,-0.317675984,6.27963,6.184
Klhl36,-0.317612867,5.066111,4.9705
Gpr30,-0.317396942,5.301296,5.20575
Pcdhb10,-0.31727403,3.049259,2.95375
Pcdh9,-0.317214236,3.740741,3.64525
Pilrb1,-0.317214236,7.095741,7.00025
Agap3,-0.317181016,6.191481,6.096
Btla,-0.317181016,5.126481,5.031
Map7,-0.317058105,7.399444,7.304
Popdc3,-0.316875399,4.558889,4.4635
Cyp4b1,-0.316812282,8.83037,8.735
Klf8,-0.316752488,3.896852,3.8015
Prl3b1,-0.316752488,3.676852,3.5815
Prr14,-0.316745844,11.70185,11.6065
Gm1141,-0.316659474,5.764074,5.66875
Mfap1,-0.316536562,8.347037,8.25175
Gm3139.1,-0.316383754,3.515741,3.4205
Gm3139.2,-0.316383754,3.515741,3.4205
Gata2,-0.316350534,5.651481,5.55625
Gpr174,-0.316197726,4.270185,4.175
Adamdec1,-0.316167828,6.235926,6.14075
Capn7,-0.316137931,8.791667,8.6965
Gm10477,-0.315922006,5.496852,5.40175
Ncf4,-0.315799094,7.909815,7.81475
Atp5c1,-0.315716046,15.81704,15.722
Hoxb3,-0.315367244,5.140185,5.04525
Cnga3,-0.315307449,3.431667,3.33675
Far1,-0.31499851,6.149074,6.05425
Parvb,-0.31499851,5.619074,5.52425
Prkci,-0.31499851,8.459074,8.36425
Kctd1,-0.314938715,5.515556,5.42075
Asz1,-0.314231144,4.522593,4.428
Gpr85,-0.314168028,3.669074,3.5745
Emg1,-0.313988644,10.08852,9.994
Fam189a2,-0.313922205,5.02,4.9255
Hdac6,-0.313859088,7.626481,7.532
Gm8994,-0.313799294,5.587963,5.4935
Lekr1,-0.313799294,5.747963,5.6535
Eme2,-0.313736177,6.549444,6.455
Gm2310,-0.313583368,7.213148,7.11875
Gm9992,-0.313553471,7.408889,7.3145
Aars2,-0.313244532,5.116296,5.022
Gapt,-0.313214634,4.102037,4.00775
Ptch2,-0.313184737,5.352778,5.2585
Paip2b,-0.31312162,7.049259,6.955
Dnajb13,-0.313028606,3.796481,3.70225
Dmpk,-0.3128459,8.165926,8.07175
Ept1,-0.312825969,11.74667,11.6525
